Company Name,Ticker,Market Cap ,Avg Volume,Beta,P/E (Trailing 12 Months),Current Ratio,Current ROE (TTM),12 Mo Trailing EPS,Price as a % of 52 Wk H-L Range,% Price Change (12 Weeks)
AEP INDS,AEPI,602.68,31715.3,0.53,15.67,2.25,37.72,7.52,100,6.03
AERCAP HLDGS NV,AER,7891.32,2177135.75,1.65,7.05,0.56,14.06,6.16,88.38,8.36
AES CORP,AES,7831.01,5873261,1.18,12.38,1.28,14.01,0.96,70.76,-7.48
AETNA INC-NEW,AET,46329.33,3163929.5,0.54,16.61,1.01,16.25,7.95,100,13.46
ASTORIA FINL CP,AF,1643.56,668566.63,0.7,25.34,1.02,4.75,0.64,87.92,4.98
ALMOST FAMILY,AFAM,426.85,85629.45,0.82,16.59,2.33,8.86,2.48,66.84,12
AMER FINL GROUP,AFG,7159.58,376435.25,0.63,14.83,0.17,9.74,5.56,100,9.67
ATLAS FINL HLDG,AFH,204.99,61898.1,1.1,9.69,0.58,16.96,1.76,30.86,-2.24
AFLAC INC,AFL,29089.51,1737985.38,1.07,10.45,0.06,13.72,6.82,83.98,-3.23
AMTRUST FIN SVC,AFSI,4416.38,792192.06,1.08,8.55,0.49,19.81,3.03,27.04,-3.25
FIRST MAJESTIC,AG,1459.32,6449148.5,0.5,80.73,4.34,3.08,0.11,40.04,-33.33
AGCO CORP,AGCO,4483.71,820820.88,1.04,22.89,1.59,6.85,2.44,94.89,16.52
ARGO GROUP INTL,AGII,1910.33,164880.55,0.73,16.13,0.46,7.11,3.95,86.94,12.55
FED AGRIC MTG-C,AGM,572.27,73218.45,0.97,11.19,0.34,17.14,4.88,100,38.98
ALLERGAN PLC,AGN,72255.41,7079689.5,1.08,14.68,3.95,7.26,13.12,2.86,-19.44
AGNC INVESTMENT,AGNC,6293.19,3865048,0.19,8.41,0.2,10.23,2.26,70.45,-3.84
ASSURED GUARNTY,AGO,4676.55,1112054.75,1.86,5.51,0.27,14,6.51,100,30.48
APPLIED GEN TEC,AGTC,171.65,163796.8,1.54,15.08,2.68,10.56,0.63,21.3,-26.07
AGRIUM INC,AGU,13568.79,489111.19,0.93,18.18,1.29,11.96,5.4,86.2,1.92
ARGAN INC,AGX,969.56,202185.41,0.97,19.73,1.9,21.27,3.27,95.21,32.01
ALLIANCE HLDGS,AHGP,1668.98,107207.5,0.41,9.14,0.41,18.36,3.05,86.15,7.85
ASAHI KASEI CP,AHKSY,12651.6,58963.45,0.24,14.32,1.18,9.76,1.26,93.76,8.54
ASPEN INS HLDGS,AHL,3095.15,242026.5,0.6,13.28,0.63,7.65,3.87,92.4,9.92
ASHFORD HOSP PR,AHP,326.95,187173.34,1.22,7.97,4.14,3.94,1.58,46.04,-18.25
ASHFORD HOSPTLY,AHT,662.67,534772.88,1.34,4.25,3.23,-2.73,1.62,89.54,3.77
ARLINGTON ASSET,AI,383.24,262166.66,1.06,5.03,1.13,17.14,3.31,100,10.64
AMER INTL GRP,AIG,64997.1,7359583,1.37,41.36,0.23,1.82,1.53,91.65,6.44
ALTRA INDUS MOT,AIMC,890.41,150734.16,1.36,22.78,2.7,15.75,1.51,92.68,21.38
ALBANY INTL A,AIN,1492.65,124307.1,1.79,25.69,3.55,12.27,1.81,96.79,7.51
APOLLO INV CP,AINV,1360.83,1895796.75,0.87,8.17,1.01,10.42,0.75,89.37,0.16
AAR CORP,AIR,1286.65,221542.95,1.56,32.18,2.7,4.7,1.17,94.83,31.83
AIR METHODS CRP,AIRM,1190.02,821462.81,1.32,12.25,2.75,18.07,2.67,38.56,-8.02
APPLD INDL TECH,AIT,2307.26,210801.5,0.85,22.58,2.94,15.18,2.62,95.33,22.74
APARTMENT INVT,AIV,6597.14,1598594.25,0.45,18.36,0.61,19.95,2.29,54.37,-10.05
ASSURANT INC,AIZ,4907.11,474681.91,0.86,17.53,0.54,6.93,4.91,76.25,-4.24
GALLAGHER ARTHU,AJG,9119.48,854885.63,1.1,19.27,0.96,12.86,2.66,94.52,2.4
AEROJET ROCKETD,AJRD,1437.1,320269.19,1.57,33.66,1.17,-36.72,0.61,93.11,12.19
GREAT AJAX CORP,AJX,240.45,43145.55,1.06,7.1,6.49,11.53,1.87,79.04,-3.49
AKAMAI TECH,AKAM,11659.62,2174753.5,0.94,32.82,3.21,11.61,2.05,91.33,21.23
AKBANK TAS-ADR,AKBTY,8940,39221.15,1.17,7.1,1.23,14.52,0.63,11.29,-19.68
EMBOT ANDINA-B,AKO.B,1776.38,19725.85,0.3,29.25,1.47,9.83,0.77,79.82,2.27
ACADIA RLTY TR,AKR,2704.87,427087.31,0.65,22.45,0.85,3.56,1.49,36.15,-10.56
AK STEEL HLDG,AKS,2798.4,24963442,2.31,17.53,1.82,-24.32,0.51,93.92,90.62
AKZO NOBEL NV,AKZOY,15696.68,53329.3,1.42,13.32,1.47,14.88,1.56,34.4,-11.26
AIR LEASE CORP,AL,3661.21,1219032.13,1.54,8.34,1.04,14.83,4.27,94.22,22.38
ALBEMARLE CORP,ALB,9667.31,1020132.63,1.52,19.49,1.45,14.38,4.41,98.28,3.5
ALLETE INC,ALE,3153.27,224063.95,0.48,22.85,0.89,7.46,2.79,91.76,3.95
ALEXANDR&BALDWN,ALEX,2170.21,168438.41,1.47,66.1,0.63,2.81,0.67,100,8.95
ALAMO GROUP INC,ALG,852.51,56694.5,0.86,19.7,4.64,11.57,3.76,96.64,13.62
ALIGN TECH INC,ALGN,7611.1,1002518.69,1.33,40.64,2.66,21.09,2.35,95.52,0.26
ALLEGIANT TRAVL,ALGT,2751.6,124999.7,-0.27,11.79,0.83,60.2,14.1,61.71,23.19
ALJ REGIONL HLD,ALJJ,149.74,37562.45,1.62,18.08,1.52,13.22,0.24,32.94,-10.15
ALASKA AIR GRP,ALK,10204.37,958222,0.71,11.45,1.7,34.91,7.23,88.43,19.97
ALLSTATE CORP,ALL,25641.04,2912798,0.96,16.12,0.24,9.16,4.32,81.16,0.46
ALLEGION PLC,ALLE,6471.2,767604.88,1.09,19.73,1.86,327.24,3.42,71.97,-6.37
ALLY FINANCIAL,ALLY,9087.69,6049913,1.31,9,1.42,17.1,2.14,82.92,-2.63
ANALOGIC CORP,ALOG,1168.09,58869.55,0.79,30.45,4.96,7.33,3.08,94.04,2.99
ASTELLAS PHARMA,ALPMY,30358.13,107626.75,0.62,16.39,2.28,16.6,0.86,28,-8.5
ALERE INC,ALR,3427.05,853149.81,0.73,36.14,2.14,8.01,1.09,34.98,-1.7
ALARM.COM HLDGS,ALRM,1374.62,314817.81,1.9,56.42,4.93,-20.7,0.53,83.68,9.16
ALLISON TRANSMN,ALSN,5393.17,1717123.25,1.19,16.14,1.64,29,2.02,99.55,17.64
AUTOLIV INC,ALV,9169.12,501541.31,1.24,14.6,1.71,16.41,7.12,27.81,-2.63
ALEXION PHARMA,ALXN,28163.31,3424888.5,1.45,32.88,3.45,10.58,3.82,17.13,-0.21
ANTERO MIDSTRM,AM,2823.83,308055.56,2.09,24.44,1.11,18.72,1.14,78.29,0.47
AMAG PHARMA INC,AMAG,1152.88,1052516.13,0.83,21.74,2.24,11.1,1.55,97.17,39.37
APPLD MATLS INC,AMAT,34761.55,11416962,1.86,18.27,2.3,28.09,1.76,100,7.27
AMBARELLA INC,AMBA,2056.4,893250.63,1.63,41.73,7.98,14.23,1.5,71.17,-9.13
AMBAC FINL GRP,AMBC,1112.03,346096.44,1.77,1.16,0.29,46.96,21.23,100,34.82
AMC ENTERTAINMT,AMC,3366.59,318218.09,1.54,27.64,0.33,7.95,1.25,93.85,13.17
AMC NETWORKS- A,AMCX,3954.42,989125.63,0.99,11.01,1.99,408.71,5.1,22.58,6.22
AMETEK INC,AME,10641.24,2695423.25,1.11,19.57,1.39,16.68,2.35,16.18,-6.01
AMEDISYS INC,AMED,1377.71,360036.56,1.45,27.18,1.06,11.94,1.51,39.7,-16.45
AFFIL MANAGERS,AMG,7948.46,621986.75,1.54,11.48,0.7,18.04,12.63,43.82,2.25
AMGEN INC,AMGN,108612.62,4429509,1.15,12.84,4.35,29.27,11.37,26.68,-14.54
AMERICAN HM 4 R,AMH,5019.9,2221756.5,0.68,28.92,0.82,-0.45,0.73,82.04,-6.92
AMKOR TECH INC,AMKR,2859.47,1742465.75,2.55,41.48,1.38,5.43,0.29,96.46,30.9
AMN HLTHCR SVCS,AMN,1626.46,789664.63,0.73,14.72,1.81,29.12,2.3,53.71,-6.36
AMER NATL BNKSH,AMNB,268.79,15592.8,0.72,16.17,0.85,8.34,1.93,100,16.03
ALLIED MOTN TEC,AMOT,201.76,20000.15,1.98,24.47,1.64,11.83,0.88,49.56,-0.97
AMERIPRISE FINL,AMP,17710.86,1413479.25,1.67,12.23,0.78,21.48,9.16,92.55,11.32
AMPHASTAR PHARM,AMPH,935.67,400198.19,1.86,46.21,3.13,6.79,0.44,88.93,7.51
AMERESCO INC-A,AMRC,275.09,80948.9,1.22,16.67,1.3,5.94,0.36,68.77,17.88
ALBANY MOL RSCH,AMRI,736.44,240619.34,1.3,29.6,2.21,7.25,0.58,58.22,15.86
