Company Name,Ticker,Market Cap ,Avg Volume,Beta,P/E (Trailing 12 Months),Current Ratio,Current ROE (TTM),12 Mo Trailing EPS,Price as a % of 52 Wk H-L Range,% Price Change (12 Weeks)
CYPRESS SEMICON,CY,3606.86,4393999,1.77,53.48,1.34,3.21,0.21,83.45,-6.81
CYBEROPTICS,CYBE,205.08,81653,-0.27,38.21,4.29,13.65,0.78,98.5,37.45
CYBER-ARK SFTWR,CYBR,1717.39,553008.63,2.93,58.14,4.02,12.01,0.88,74.44,-10.98
CYNOSURE INC-A,CYNO,1095.08,357878.84,1.71,36.72,3.32,6.82,1.25,57.24,-10.86
CHANGYOU.COM,CYOU,1252.08,196046.34,1.29,8.92,2.66,12.95,2.69,58.96,-4
CYS INVESTMENTS,CYS,1247.82,1374924.13,0.63,8.41,0,10.85,0.98,68.51,-8.04
CITIZENS&NRTHRN,CZNC,287.79,26460.05,0.57,18.46,0.76,8.24,1.29,69.94,11.16
COSAN LTD-A,CZZ,1180.2,2538664,2.52,9.22,1.5,3.99,0.76,65.92,-3.97
DOMINION RES VA,D,47701.94,2724711.5,0.22,21.68,0.42,14.48,3.51,79.97,0.81
DANAOS CORP,DAC,351.36,153133.95,1.1,1.89,0.56,21.29,1.69,24.06,9.97
DAKTRONICS INC,DAKT,464.18,187699.75,1.39,48.09,2.12,4.76,0.22,95.22,7.41
DELTA AIR LINES,DAL,36389.44,9277902,0.89,8.57,0.48,37.39,5.67,80.58,31.97
DANA INC,DAN,2432.05,1886574,1.58,9.95,2.11,28.86,1.7,93.94,14.96
DARLING INGRDNT,DAR,2253.44,1693407,1.86,15.04,2.1,7.34,0.91,73.41,-4.6
DASSAULT SY-ADR,DASTY,19895.29,21891.25,0.78,31.11,2.4,16.28,2.48,39.08,-10.7
DIEBOLD INC,DBD,1701.92,1340625.38,1.88,14.9,1.51,14.62,1.52,10.58,-18.82
DBS GROUP-ADR,DBSDY,30896.63,44587.75,1.34,9.81,0.94,9.89,4.94,98.79,5.54
DONALDSON CO,DCI,5311.02,547421,0.93,26.34,1.86,27.06,1.52,93.9,7.18
NTT DOCOMO -ADR,DCM,86421.55,137178.7,0.2,15.18,2.43,11.97,1.53,45.27,-10.86
DUCOMMUN INC DE,DCO,324.49,87550.2,0.96,23.23,2.57,7,1.25,100,25.17
DIME COMM BNCSH,DCOM,703.95,117243.15,0.73,15.12,1.34,8.55,1.24,88.54,4.22
DCT INDUSTRIAL,DCT,4213.29,612116.19,0.96,20.88,0.65,5.88,2.22,75.24,-6.51
DU PONT (EI) DE,DD,61897.15,3034289.5,1.71,22.89,2.01,27.16,3.11,85.49,2.17
DAIMLER AG,DDAIF,72168.71,26884.75,1.92,7.86,1.25,15.43,8.58,31.12,-4.99
3D SYSTEMS CORP,DDD,1574.16,2735633.75,1.38,53.88,3.36,4.14,0.26,62.52,-11.05
DDR CORP,DDR,5589.23,3361644.75,0.94,11.92,0.52,3.93,1.28,9.71,-20.48
DILLARDS INC-A,DDS,2437.08,671991,1.07,13.09,2.27,10.84,5.44,48.84,20.22
DEERE & CO,DE,31552.35,4174482.75,0.71,20.86,2.1,21.54,4.81,88.89,18.8
EASTRLY GOV PPT,DEA,688.4,201632.66,0.6,16.78,1.29,0.37,1.16,71.99,-0.97
DECKERS OUTDOOR,DECK,1905.85,639659.75,0.88,13.75,1.97,14.8,4.32,65.13,-2.96
DOUGLAS EMMETT,DEI,5641.35,852222.38,0.86,21.03,0.06,3.04,1.77,90.83,-2.03
DELTIC TIMBER,DEL,815.73,61293.2,0.93,136.94,0.49,2.44,0.49,80.03,-5.49
DENNY'S CORP,DENN,899.48,429499.66,0.47,25.02,0.35,-68.97,0.49,88.89,14.47
DEAN FOODS CO,DF,1856.07,1695401.63,0.2,13.15,1.49,24.87,1.56,91.14,18.76
DEL FRISCOS RST,DFRG,392.92,169198.05,0.83,20.37,0.83,8.15,0.82,93.3,10.67
DISCOVER FIN SV,DFS,26669.26,2826589.25,1.39,12.25,1.61,21.38,5.52,96.86,13.32
DUPONT FABROS,DFT,3190.82,730887.13,0.62,15.93,1.97,21.81,2.65,67.28,-4.13
DOLLAR GENERAL,DG,22063.37,3226743,0.8,18.25,1.36,22.95,4.29,41.96,8.76
DELTA NAT GAS,DGAS,186.44,11098.45,0.58,35.89,2.83,7.26,0.73,79.54,4.93
DIGITALGLOBE,DGI,2012.72,524682.63,0.23,52.18,1.49,3.71,0.62,99,19.95
DONEGAL GRP -A,DGICA,434.29,29400.6,0.03,14.09,0.43,7.16,1.15,85.93,-0.92
DIGI INTL INC,DGII,358.28,211348.66,1.26,28.16,8.22,4.41,0.49,96.73,14.52
QUEST DIAGNOSTC,DGX,12304.3,1422981.38,0.62,17.68,1.57,14.57,5.02,100,6.49
D R HORTON INC,DHI,10755.24,5224345.5,1.17,12.27,6.9,13.93,2.35,50.18,-8.3
DIAMOND HIL INV,DHIL,724.14,16566.45,0.98,16.4,3.61,35.63,12.93,77.64,12.31
DANAHER CORP,DHR,54734.38,3227503.5,1.06,17.7,1.36,12.9,4.47,12.36,-0.47
DHT HOLDINGS,DHT,354.79,2621091.5,1.56,3.96,1.7,13.75,0.96,8.66,-9.52
DHI GROUP INC,DHX,311.13,233662.75,0.99,16.03,0.69,15.69,0.39,22.73,-21.68
DHX MEDIA LTD,DHXM,558.74,16556.15,1.08,32.35,1.64,8.44,0.16,22.41,-13.38
DINEEQUITY INC,DIN,1537.99,154873.84,0.54,13.67,1.36,44,6.22,44.83,8.57
DIODES INC,DIOD,1172.67,149097.55,1.22,31.55,4.28,4.44,0.76,86.35,14.08
DISNEY WALT,DIS,160179.77,8503722,1.21,17.45,1.01,19.81,5.71,40.77,6.26
DISCOVERY COM-A,DISCA,10869.91,3326402.75,1.6,14.18,1.76,22.76,1.95,52.9,10.2
DISCOVERY COM-C,DISCK,10661.55,1675678.63,1.49,13.91,1.76,22.76,1.95,65.06,10.83
DISH NETWORK CP,DISH,26827.87,2012595,1.05,19.36,1.72,40.84,2.98,75.07,14.35
DICKS SPRTG GDS,DKS,6795.1,2537416.5,0.71,20.54,1.57,18.15,2.93,94.85,1.11
CHINA DISTANCE,DL,442.2,17494.65,1.87,17.01,0.91,51.3,0.78,68.11,15.49
DELTA APPAREL,DLA,153.66,28751.75,-0.39,14.23,3.03,7.37,1.4,60.09,15.08
LUFTHANSA -ADR,DLAKY,6181.37,39444.4,0.89,4.11,0.8,37.78,3.21,41.39,8.97
DOLBY LAB INC-A,DLB,4714.65,471988.91,0.64,25.52,3.57,9.87,1.83,66.23,-6.45
DYNAGAS LNG PTR,DLNG,307.37,153388.66,1.16,8.19,1.12,21.28,1.83,88.85,0.47
DELPHI AUTO PLC,DLPH,17182.09,2886609.25,1.43,10.86,1.34,58.26,5.84,20.33,-9.98
DIGITAL RLTY TR,DLR,14860.42,1661223.25,0.14,16.52,0.31,9.81,5.66,55.86,-8.24
DOLLAR TREE INC,DLTR,21141.95,3206752.5,0.57,26.14,2.03,17.15,3.43,65.78,7.67
DELUXE CORP,DLX,3335.14,339462.41,1.22,14.09,1.13,30.08,4.87,91.73,-1.08
DOMINION MIDSTR,DM,1521.99,390887.06,1.7,20.88,1.12,1.83,1.19,11.49,-2.28
DUN &BRADST-NEW,DNB,4528.11,279584.19,1.45,17.07,0.83,-24.33,7.21,66.62,-11.02
DUNKIN BRANDS,DNKN,4971.12,1112696.75,0.25,25.44,1.55,-95.96,2.13,100,10.12
DENSO CORP,DNZOY,35113.71,47472.85,1.08,18.58,1.98,6.8,1.19,71.05,6.73
DIAMOND OFFSHOR,DO,2154.94,2620923.75,1.25,8.78,0.99,6.32,1.79,8.05,-4.21
PHYSICIANS RLTY,DOC,2512.11,1186738.38,0.63,19.1,1.27,1.77,0.97,45.64,-14.88
MASONITE INT CP,DOOR,1946.48,240848.84,1.1,21.49,2.58,14.01,3.02,72.39,-3.42
DORMAN PRODUCTS,DORM,2469.36,146027.95,0.66,24.6,6.15,18.49,2.9,97.04,11.47
DOVER CORP,DOV,10840.11,1693790,1.18,22.73,1.45,12.93,3.07,78.29,-3.34
DOW CHEMICAL,DOW,60543.37,6869633.5,1.2,14.67,1.96,17.81,3.68,80.96,0.17
AMDOCS LTD,DOX,8718.83,868242.63,0.68,17.71,1.54,14.61,3.33,77.2,-3.28
DIPLOMAT PHARMA,DPLO,973.6,2040518,1.21,16.58,1.31,10.47,0.88,8.27,-55.16
DCP MIDSTREAM,DPM,3737.41,322695.69,1.97,14.87,1.02,12.63,2.19,76.34,-4.35
DR PEPPER SNAPL,DPS,16433.31,1359425.75,0.55,20.52,1.08,38.19,4.36,43.83,-4.81
DEUTSCHE PST AG,DPSGY,37795.48,37125.95,1.53,14.23,0.97,23.44,2.19,87.18,-3.97
DOMINOS PIZZA,DPZ,8215.26,606766.25,0.62,42.93,1.15,-11.04,3.98,97.96,13.78
DAQO NEW ENERGY,DQ,208.87,55288.75,2.27,3.77,0.33,21.67,5.31,52.37,-19.47
DUKE REALTY CP,DRE,9154.65,3078805.25,1.02,21.87,1.21,8.46,1.18,70.29,-8.8
DIAMONDROCK HOS,DRH,2089.3,3151491.5,1.25,10.23,3.23,6.37,1.02,76.44,5.57
DARDEN RESTRNT,DRI,8970.14,1818910.75,0.23,19.54,0.54,24.97,3.73,89.52,16.48
DAIWA SEC GP JP,DSEEY,10522.51,23697.3,1.34,12.8,1.17,7.19,0.47,61.71,0.75
DESCARTES SYS,DSGX,1698.35,43368.8,0.68,74.67,2.43,5.45,0.3,94.58,5.11
DSP GROUP INC,DSPG,255.14,68191.2,1.01,131.11,3.13,1.55,0.09,85.95,0.25
DST SYSTEMS,DST,3450.83,258352.05,1.34,16.94,0.97,20.4,6.23,34.33,-14.92
DSW INC CL-A,DSW,1949.77,1741235.25,0.72,16.94,2.45,12.45,1.4,49.34,-1.78
DTE ENERGY CO,DTE,17189.88,998594.69,0.19,17.51,1.32,11.04,5.47,80.3,1.74
DAVIDSTEA INC,DTEA,247.46,39395.35,1.12,27.78,4.28,9.81,0.36,20.72,-25.48
DEUTSCHE TELEKM,DTEGY,73171.66,264562.19,0.97,15.65,0.81,10.84,1,13.12,-7.64
DATALINK CORP,DTLK,250.44,687343.06,0.95,32.85,1.44,3.89,0.34,99.39,8.45
DTS INC,DTSI,759.56,108735.75,1.15,32.95,1.41,11,1.29,98.68,24.82
DUKE ENERGY CP,DUK,52618.94,3611648.75,0.13,16.08,1.12,8.2,4.75,48.53,-5.65
DEVRY EDUCATION,DV,1856.77,999989.19,0.9,11.91,0.95,10.49,2.49,100,29.42
DAVITA INC,DVA,12781.53,2302327.5,1,16.36,1.61,16.16,3.89,36.51,-0.62
DEVON ENERGY,DVN,22074.98,5414585,2.04,108.1,1.56,1.48,0.39,84.45,-4.64
DREW INDS INC,DW,2618.76,266189,1.21,22.16,2.44,24.64,4.8,100,4.05
DYNEX CAP INC,DX,346.02,227604.66,0.83,8,0.08,13.2,0.88,74.04,-6.26
DXP ENTERPRISES,DXPE,517.65,239959.2,2,80.7,1.24,3.61,0.37,85.53,7.91
DYCOM INDS,DY,2274.05,1142687.5,1.32,14.66,3.1,28.63,4.93,49.14,-15.53
ELECTR ARTS INC,EA,24553.89,3622022.75,0.58,33.08,2.08,23.03,2.46,86.06,-2.98
AIRBUS GROUP NV,EADSY,49585.75,384413.69,1.67,17.25,1.01,39.5,0.93,56.29,5.08
ELLINGTON RESID,EARN,124.58,54142.05,0.55,6.89,0.14,12.74,1.98,81.86,-2.01
BRINKER INTL,EAT,2647.16,1261944.25,0.18,15.19,0.41,-68.57,3.51,84.03,-0.26
EBAY INC,EBAY,31872.07,8530650,1.33,17.71,2.6,28.67,1.61,59.69,-12.03
ENNIS INC,EBF,425.74,95976.45,0.99,12.52,6.03,11.85,1.31,26.09,-2.38
EBIX INC,EBIX,1983.8,273950.25,1.75,22.17,2.6,21.72,2.76,95.39,4.31
EMERGENT BIOSOL,EBS,1146.09,444750.56,1.03,21.12,4.35,10.42,1.34,18.86,3.47
MERIDIAN BANCRP,EBSB,956.11,237336.5,0.27,31.79,1.19,5.06,0.56,94.5,14.84
ENTERPRISE BCP,EBTC,373.7,17572.55,0.86,18.98,0.9,9.32,1.72,94.31,23.4
ENCANA CORP,ECA,11004.19,13618920,1.8,94.25,1.35,1.79,0.12,88.58,13.67
ECHO GLOBAL LOG,ECHO,730.65,255088.05,1.3,36.76,1.61,5.4,0.68,65.5,-5.27
ECOLAB INC,ECL,33939.57,837217.38,0.89,26.76,1,19.08,4.35,68.05,-5.89
US ECOLOGY INC,ECOL,1016.04,125230.85,0.88,30.69,1.89,12.57,1.52,86.53,5.19
ENCORE CAP GRP,ECPG,694.47,564269.94,1.44,6.73,0.73,17.26,4.04,64.75,23.58
CONSOL EDISON,ED,22138.49,1823078.75,0,17.89,0.88,8.94,4.06,57.39,-4.76
EMPIRE DISTRICT,EDE,1502.72,135380.09,0.11,22.57,1.27,8.13,1.51,96.89,0.32
EDUCATION RLTY,EDR,2996.39,686866.88,0.43,22.79,0.98,2.86,1.8,43.17,-10.83
NEW ORIENTAL ED,EDU,7901.86,1009149.69,1.32,33.24,2.14,16.87,1.51,88.78,13.94
EL PASO ELEC CO,EE,1898.46,229089.09,0.41,20.64,0.65,8.95,2.27,85.94,0.73
EURONET WORLDWD,EEFT,3899.27,361205,1.4,20.3,1.44,23.59,3.68,63.06,-5.2
ENBRIDGE EGY PT,EEP,6140.91,1138617.13,1.11,39.69,0.3,7.81,0.59,75.07,-4.84
ELLINGTON FINL,EFC,522.4,82419.85,0.36,13.38,3.45,5.78,1.2,22.39,-7.11
ELECTRN IMAGING,EFII,2035.34,439505.66,1.43,59.62,3.19,7.7,0.73,56.34,-8.09
ENTERPRISE FINL,EFSC,772.42,108073.6,0.66,17.31,1.02,12.38,2.23,95.72,24.48
EQUIFAX INC,EFX,14289.88,1027310.13,0.85,22.77,0.51,24.73,5.24,60.4,-11.68
GAS NATURAL INC,EGAS,131.5,62217.6,-0.35,65.79,0.99,2.07,0.19,97.56,67.79
EAGLE BCP INC,EGBN,1880.08,111240.55,0.7,20.25,1.06,12.15,2.76,84.64,9.93
ENGILITY HLDGS,EGL,1370.64,144161.95,2.05,21.18,1.32,9.35,1.76,98.47,21.48
ELDORADO GOLD,EGO,1941.95,6757285,1.7,90.33,4.67,0.58,0.03,20.54,-26.56
NIC INC,EGOV,1649.5,321315.31,0.53,32.9,2.62,37.12,0.76,97.11,7.2
EASTGROUP PPTYS,EGP,2270.38,199195.5,0.97,17.78,0,15.76,3.88,75.38,-7.83
EAGLE PHARMACT,EGRX,1206.17,534144.19,1.37,50.74,3.36,25.63,1.54,66.67,26.03
EMPLOYERS HLDGS,EIG,1156.77,130566,0.91,13.92,0.38,10.4,2.59,98.14,17.47
ENDURANCE INTL,EIGI,1110.87,549228.38,1.78,31.4,0.3,18.29,0.25,15.14,-4.15
EDISON INTL,EIX,23181.45,1521777.75,0.17,18.63,0.49,9.59,3.82,63.49,-3.99
ESTEE LAUDER,EL,28805.93,2170479.25,0.87,24.41,1.62,32.9,3.22,7.95,-12.14
ELLIE MAE INC,ELLI,2834.9,986737.19,0.53,70.38,7.85,9.83,1.2,52.67,-15.2
SYNERON MED LTD,ELOS,282.89,149427.45,1.02,54.33,2.94,3.15,0.15,99.45,22.56
COPEL-ADR PR B,ELP,2342.49,579632.88,1.77,5.9,1.05,9.02,1.45,57.18,-21.32
EQUITY LIFESTYL,ELS,6027.65,452718.84,0.41,21.81,0.05,20.15,3.24,41.59,-11.18
AB ELECTROLUX,ELUXY,7202.47,14358.95,1.26,19.93,1.05,19.33,2.34,31.19,-10.52
CALLAWAY GOLF,ELY,1156.65,921832.69,1.39,33.22,2.9,7.84,0.37,95.23,6.04
EMC INSURANCE,EMCI,595.13,20540.65,0.76,15.16,0.1,6.29,1.86,91.08,1.15
EMCOR GROUP INC,EME,4307.08,499946.75,0.88,22.4,1.55,12.85,3.17,97.34,23.15
EMCORE CORP,EMKR,175.13,202482.7,0.93,55.83,7.25,2.28,0.12,51.01,32.15
EASTMAN CHEM CO,EMN,10814.08,1302252.25,1.51,10.77,1.31,23.59,6.84,77.15,7.88
EMERSON ELEC CO,EMR,34967.07,4027712.5,1.14,18.25,1.24,25.11,2.98,86.19,3.5
ENBRIDGE INC,ENB,39566.95,2371996.75,0.62,24.51,0.52,14.67,1.72,79.35,-2.09
ENABLE MIDSTRM,ENBL,6068.69,444361.94,2.07,18.66,1.21,4.23,0.77,80.31,-5.15
ENDO INTL PLC,ENDP,3603.92,6395639,0.67,3.75,0.84,15.95,4.31,5.52,-21.08
ENDURANCE SPLTY,ENH,6234.44,472095.84,0.55,17.47,1.08,7.1,5.28,99.55,38.63
ENERSIS S A ADR,ENIA,7805.75,859973.19,0.98,6.63,1.15,11.68,1.2,5.25,-6.47
ENLINK MIDS LLC,ENLC,3060.83,541231.38,2.31,9.29,0.71,5.66,1.83,86.05,-0.87
ENERSYS INC,ENS,3435.75,305124.41,1.62,18.66,2.98,18,4.24,99.86,13.48
ENSIGN GROUP,ENSG,1126.18,291271.31,0.92,17.64,1.55,15.43,1.26,65.51,13.72
ENTEGRIS INC,ENTG,2565.36,540684.13,1.43,20.39,3.37,15.06,0.89,95.57,6.14
ENVESTNET INC,ENV,1610.22,238700.5,1.64,93.5,0.83,3.91,0.4,83.65,-7.79
ENZYMOTEC LTD,ENZY,143.44,36253.6,1.26,52.5,7.4,1.95,0.12,17.7,-16.67
EPAM SYSTEMS,EPAM,3445.44,566002.38,1.26,32.61,5.19,12.66,2.07,41.22,-3.97
BOTTOMLINE TECH,EPAY,1003.12,227957.25,1.54,42.67,1.99,7.39,0.58,47.45,4.32
EDGEWELL PERSNL,EPC,4649.75,616813.13,0.83,22.49,1.67,11.57,3.57,59.24,0.89
ENTERPRISE PROD,EPD,53299.31,4407636,0.9,20.26,0.76,11.95,1.25,54.63,-6.74
EVOLUTION PETRO,EPM,266.02,180394.05,0.84,53.67,2.73,10.68,0.15,89.41,39.03
EPR PROPERTIES,EPR,4506.21,397761.56,0.71,14.88,5.44,10.16,4.76,55.09,-11.39
EQT GP HOLDINGS,EQGP,6401.27,162776.16,1.33,32.07,0.48,11.41,0.75,66.41,-6.67
EQUINIX INC,EQIX,24510.84,709411.13,0.84,24.69,1.11,3.68,13.91,62.97,-9.15
EQT MIDSTRM PTR,EQM,5809.16,256256.09,0.94,14,0.49,27.1,5.15,61.37,-8.83
EQUITY RESIDENT,EQR,22118.96,2017571.38,0.37,18.79,2.16,39.22,3.22,7.25,-6.94
EQUITY ONE INC,EQY,4344.1,1474059.88,0.79,21.38,0.46,3.81,1.4,56.62,-5.13
ELDORADO RESRTS,ERI,628.86,437274.09,0.99,4.72,0.94,47.48,2.83,67.97,-5.99
ERICSSON LM ADR,ERIC,16716.8,5479092.5,1.08,9.48,2.02,10.92,0.54,5.08,-26.96
ERIE INDEMNITY,ERIE,4981.02,26274.4,0.43,28.91,1.83,24.48,3.73,93.97,5.26
EMBRAER AIR-ADR,ERJ,3556.14,1329928.5,0.65,23.61,1.82,3.93,0.82,14.78,-1.48
EVERSOURCE EGY,ES,17049.88,1635777.38,0.31,18.93,0.91,8.61,2.84,42.93,-2.2
ESCALADE INDS,ESCA,197.37,19986.1,0.35,17.92,1.72,11.09,0.77,86.05,11.38
ESCO TECH INC,ESE,1432.44,108143.2,1.01,27.44,2.05,8.75,2.03,95.9,20.93
ENSTAR GROUP LT,ESGR,3222.88,32900.95,0.73,10.91,1,13.48,18.21,91.29,20.5
ESTERLINE TECHN,ESL,2576.56,228800.41,1.33,17.96,2.95,9.23,4.88,81.53,11.98
ELBIT SYSTEMS,ESLT,4401.45,40821.45,0.61,17.54,1.27,17.06,5.87,92.93,3.55
ESSENDANT INC,ESND,716.44,329294.41,1.16,8.14,2.28,11.74,2.38,20.06,-1.37
ESSENT GROUP,ESNT,2847.15,826470.19,1.08,13.84,0.61,16.76,2.21,100,15.57
EMPIRE STATE RE,ESRT,3115.77,669244.81,1,20.87,5.29,3.6,0.97,74.27,-7.62
EXPRESS SCRIPTS,ESRX,47393.49,4206379,0.96,12.62,0.7,24.99,6.09,50.82,5.69
ESSEX PPTY TR,ESS,14143.16,421008.06,0.54,19.88,1.26,4.76,10.86,45.38,-6.14
ESSA BANCORP,ESSA,168.74,24181.15,0.07,19.49,0.95,4.53,0.76,95.94,8.1
ENSCO PLC,ESV,2342.56,7307395,1.65,3.19,4.18,8.58,2.42,10.27,3.2
ENERGY TRAN EQT,ETE,17253.69,8377846.5,1.81,12.3,0.92,6.1,1.34,82.37,-8.85
E TRADE FINL CP,ETFC,9328.78,3120320,1.69,19.81,0.37,8.31,1.72,95.85,31.24
ETHAN ALLEN INT,ETH,969.17,169202.59,1.05,18.55,1.95,13.77,1.89,90.43,3.15
ENTERCOM COMMUN,ETM,639.5,97299.7,1.43,18.98,2.31,9.34,0.83,99.25,12.82
EATON CORP PLC,ETN,29672.18,3734242.75,1.36,15.38,1.54,12.73,4.27,85.95,-1.4
ENTERGY CORP,ETR,12789.74,1485086.63,0.4,8.55,1.26,15.7,8.35,39.84,-10.27
EURONAV SA,EURN,1202.03,835174.13,0.78,4.36,1.33,14.29,1.73,5.97,-16.48
EATON VANCE,EV,4534.32,843205.38,1.78,18.98,1.42,38.3,2.12,96.88,1.18
ENVIVA PARTNERS,EVA,366.26,138925.05,1.29,17.97,2.25,12.79,1.55,92.91,10.74
EASTERN VA BKSH,EVBS,120.41,29689.7,0.29,20.4,0.83,6.89,0.45,89.35,22.73
ENTRAVISION COM,EVC,600.87,345787.09,1.66,33.5,4.33,11.23,0.2,28.88,-13.21
EVERBANK FIN CP,EVER,2418.58,1430457.38,0.69,13.97,0.99,10.61,1.38,97.95,0.42
ENVISION HLTHCR,EVHC,4212.78,2785612.5,0.49,17.43,2.25,11.96,1.29,37.89,2.65
ENVIROSTAR INC,EVI,142.23,28633.25,0.57,52.78,2.23,40.63,0.27,97.81,206.45
EVERCORE PARTNR,EVR,2597.78,536898,1.58,16.24,2.09,31.73,4.11,98.31,31.09
EVERTEC INC,EVTC,1318.63,445267.25,1.17,10.65,1.21,120.29,1.69,100,6.7
EDWARDS LIFESCI,EW,17939,2325643.75,0.71,30.18,4.08,24.32,2.78,20.03,-28.62
EAST WEST BC,EWBC,6811.75,941347.88,1.23,16.64,0.95,12.69,2.84,97.96,29.49
EXACTECH INC,EXAC,375.9,27726.45,0.83,23.45,4.75,6.81,1.13,83.99,-4.98
EXAR CORP,EXAR,508,253194.25,1.45,34.93,6.47,5.4,0.29,99.61,9.51
EXELON CORP,EXC,31077.27,6420473.5,0.21,12.85,1,8.81,2.62,68.11,-2.29
EXFO INC,EXFO,229.27,15364.4,0.73,22.51,2.82,5.77,0.19,90.82,21.18
ENDEAVOUR SILVR,EXK,487.16,2374387.75,0.04,77.4,4.01,7.83,0.05,59.34,-29.51
EXLSERVICE HLDG,EXLS,1608.34,176698.84,1.63,24.74,3.68,13.57,1.94,51.37,-7.94
EAGLE MATERIALS,EXP,4494,923585.88,1.31,23.9,3.5,17.96,3.9,94.22,15.78
EXPEDITORS INTL,EXPD,9514.78,1783469.25,0.69,22.35,2.41,24.45,2.36,96.7,1.95
EXPEDIA INC,EXPE,18768.75,1871085.25,0.77,41.29,0.55,10.39,3.03,83.69,9.82
EXPONENT INC,EXPO,1581.65,129835.1,0.65,39.62,3.72,15.72,1.56,93.46,23.63
EXPRESS INC,EXPR,1056.91,2247212.5,1.59,9.91,1.28,18.62,1.36,20.7,15.31
EXTRA SPACE STG,EXR,8913.36,857707.31,0.46,19.2,0.43,14.98,3.69,8.09,-13.67
EXTREME NETWRKS,EXTR,479.6,553135.38,1.11,28,1.1,17.6,0.16,92.21,13.99
FORD MOTOR CO,F,47366.68,32680060,1.12,5.84,1.16,26.97,2.04,22.12,-5.92
FIRST AMER FINL,FAF,4350.01,749487.06,0.94,12.9,0.69,11.83,3.07,65.72,-7.3
DIAMONDBACK EGY,FANG,7447.5,1159847.88,1.07,68.14,1.48,4.26,1.4,79.39,-1.8
FARMER BROS CO,FARM,592.83,42701.7,1.12,34.27,1.5,13.48,1.03,90.4,7.2
FARO TECH INC,FARO,613.6,93611.6,1.45,34.72,4.48,5.45,1.06,94.05,11.04
FASTENAL,FAST,13587.39,2787025,0.92,27.33,5.37,26.84,1.72,78.56,9.55
FLAGSTAR BANCP,FBC,1560.66,154098.75,1.43,11.83,1.08,12.38,2.33,88.34,-0.93
FORTUNE BRD H&S,FBHS,8672.05,1247252.13,1.28,21.87,1.98,17.69,2.57,58.23,-10.79
FIRST BUS FINL,FBIZ,192.77,19529.2,0.76,12.95,0.98,9.54,1.71,40.27,-2.85
FIRST BCP-NC,FBNC,507,140758.66,0.99,20,1,7.47,1.26,98.62,25.31
FIRST CT BANCRP,FBNK,347.01,33619.5,0.45,25.23,1.1,5.32,0.87,93.46,24.5
FIRST BNCRP P R,FBP,1384.96,929643.19,2.04,16.33,0.96,4.9,0.39,93.67,33.54
FIBRIA CELULOSE,FBR,5384.25,2073881.38,0.44,9.26,1.82,16.48,1.05,43.76,38.07
FRANKLIN COVEY,FC,288.94,58863.45,0.85,41.9,1.66,6.93,0.5,87.1,28.29
FIAT CHRYSLER,FCAU,9731.91,11842521,1.65,3.39,1.23,18.05,2.23,21.52,10.87
FCB FINL HLDGS,FCB,1684.17,390323.16,1.25,19.8,0.92,10.41,2.2,100,13.41
FIRST COMM BCSH,FCBC,478.75,33377.45,0.73,19.84,0.95,7.41,1.42,95.73,16.98
1ST CONSTIT BCP,FCCY,126.93,25116.95,0.29,14.72,0.92,8.85,1.08,100,22.4
FIRST COMW FINL,FCF,1122.19,378371.69,0.85,20.67,0.85,7.43,0.61,100,24.48
FIRST CMNTY FIN,FCFP,187.89,17815.15,0.57,17.87,0.94,9.66,0.61,97.69,19.26
FIRSTCASH INC,FCFS,2323.49,276852.66,1.05,20.83,5.85,10.01,2.3,74.92,-5.22
FELCOR LODGING,FCH,982.43,1182413.25,1.68,8.01,0.92,-26.62,0.89,57.81,5.47
FTI CONSULTING,FCN,1804.37,212172.34,0.29,18.92,2.36,7.86,2.25,84.28,-3.58
FIRST CTZNS-NCA,FCNCA,4209.75,30748.45,0.88,19.53,0.86,7.21,17.95,94.65,23.95
FIRST DEFIANCE,FDEF,418.78,34320.8,0.89,15.19,1.02,9.81,3.07,100,4.57
FEDERAL MOGUL-A,FDML,1602.51,135351.45,2.97,9.88,1.76,16.56,0.96,89.71,2.82
FRESH DEL MONTE,FDP,3410.77,234611.66,0.3,15.03,2.49,12.62,4.38,99,11.74
FACTSET RESH,FDS,6458.69,325991.06,0.74,25.43,2.33,48.65,6.36,56.14,-10.22
FIDUS INVESTMNT,FDUS,317,122503.75,1.05,10.93,0.22,9.49,1.51,88.95,1.04
FEDEX CORP,FDX,50579.25,1472270.75,1.14,16.86,1.53,21.65,11.29,98.23,15.46
FIRSTENERGY CP,FE,13857.93,4210031,0.16,11.46,0.49,10.06,2.84,27.94,-1.51
FRANKLIN ELEC,FELE,1789.69,223790.2,1.48,23.71,3.01,13.01,1.63,82.14,0.03
PHOENIX NEW MED,FENG,270.21,100017.55,1.32,21,2.47,4.02,0.18,17.34,5.29
FUTUREFUEL CORP,FF,599.41,167822.09,1.4,8.9,9.41,16.41,1.54,82.42,18.91
FIRST FIN BC-OH,FFBC,1691.4,282454.59,1.07,19.93,0.95,10.17,1.37,100,26.16
FBL FINL GRP-A,FFG,1925.32,29502.35,0.94,18.17,0.04,8.75,4.26,92.21,17.43
FLUSHING FINL,FFIC,754.08,75852.15,0.92,17.22,1.17,8.96,1.53,95.59,14.61
FIRST FIN BK-TX,FFIN,2906.77,265299.94,1.22,28.02,0.63,12.23,1.57,92.64,21.85
